## [BeGaze]
## Converted from:	E:\henrik-iwk1\henrik-1-recording.idf
## Date:	13.12.2019 13:30:00
## Version:	BeGaze 3.6.52
## IDF Version:	10
## Sample Rate:	60
## Separator Type:	Trial
## Trial Count:	1
## Uses Plane File:	False
## Number of Samples:	3381
## Reversed:	none
## [Run]
## Subject:	henrik
## Description:	Run1
## [Calibration]
## Calibration Area:	1280	960
## [Geometry]
## Stimulus Dimension [mm]:	1280	960
## Head Distance [mm]:	1450
## [Hardware Setup]
## System ID:	
## Operating System :	
## IView X Version:	
## [Filter Settings]
## Heuristics:	False
## Heuristics Stage:	0
## Bilateral:	False
## Gaze Cursor Filter:	False
## Saccade Length [px]:	0
## Filter Depth [ms]:	0
## Format:	LEFT, RIGHT
##
Time;Type;Trial;L Pupil Diameter [mm];R Pupil Diameter [mm]
199607725;SMP;1;4.42;4.22
199623873;SMP;1;4.46;4.22
199640922;SMP;1;4.48;4.22
199657109;SMP;1;4.48;4.26
199673644;SMP;1;4.46;4.26
199690403;SMP;1;4.46;4.30
199707178;SMP;1;4.50;4.20
199723756;SMP;1;4.48;4.30
199740682;SMP;1;4.52;4.26
199756918;SMP;1;4.46;4.24
199773552;SMP;1;4.48;4.28
199789859;SMP;1;4.48;4.30
199806506;SMP;1;4.50;4.28
199823016;SMP;1;4.52;4.30
199839640;SMP;1;4.46;4.30
199856685;SMP;1;4.52;4.26
199872845;SMP;1;4.50;4.32
199889555;SMP;1;4.46;4.32
199906229;SMP;1;4.46;4.26
199922637;SMP;1;4.46;4.34
199939671;SMP;1;4.54;4.32
199955928;SMP;1;4.52;4.34
199972990;SMP;1;4.50;4.38
199989323;SMP;1;4.52;4.36
200005944;SMP;1;4.52;4.36
200022394;SMP;1;4.48;4.38
200038925;SMP;1;4.52;4.36
200055528;SMP;1;4.50;4.34
200072120;SMP;1;4.46;4.36
200088690;SMP;1;4.54;4.36
200105147;SMP;1;4.52;4.34
200121828;SMP;1;4.46;4.32
200138367;SMP;1;4.50;4.34
200155074;SMP;1;4.50;4.36
200171526;SMP;1;4.52;4.36
200188162;SMP;1;4.50;4.36
200204911;SMP;1;4.60;4.32
200221367;SMP;1;4.58;4.32
200237961;SMP;1;4.52;4.36
200254537;SMP;1;4.50;4.30
200271133;SMP;1;4.52;4.36
200287903;SMP;1;4.62;4.32
200304403;SMP;1;4.56;4.34
200320953;SMP;1;4.52;4.32
200337524;SMP;1;4.54;4.36
200354182;SMP;1;4.44;4.38
200370758;SMP;1;4.56;4.38
200387432;SMP;1;4.52;4.34
200404037;SMP;1;4.50;4.40
200420579;SMP;1;4.70;4.46
200437194;SMP;1;0.00;0.00
200453705;SMP;1;0.00;0.00
200470417;SMP;1;0.00;0.00
200487011;SMP;1;0.00;0.00
200503510;SMP;1;2.90;0.00
200520028;SMP;1;3.98;3.74
200536794;SMP;1;4.78;4.34
200553259;SMP;1;4.68;4.40
200569861;SMP;1;4.60;4.40
200586400;SMP;1;4.48;4.36
200603151;SMP;1;4.52;4.36
200619629;SMP;1;4.56;4.38
200636690;SMP;1;4.54;4.36
200653421;SMP;1;4.60;4.38
200669534;SMP;1;4.56;4.40
200686051;SMP;1;4.54;4.40
200702613;SMP;1;4.62;4.42
200719159;SMP;1;4.58;4.66
200735924;SMP;1;0.00;0.00
200752611;SMP;1;0.00;0.00
200769203;SMP;1;0.00;0.00
200786011;SMP;1;0.00;0.00
200802136;SMP;1;0.00;0.00
200819095;SMP;1;2.24;0.00
200835516;SMP;1;0.00;0.00
200852010;SMP;1;5.02;4.06
200868644;SMP;1;4.72;4.52
200885288;SMP;1;4.70;4.46
200901758;SMP;1;4.54;4.36
200918558;SMP;1;4.50;4.40
200935314;SMP;1;4.60;4.44
200951659;SMP;1;4.62;4.42
200968721;SMP;1;4.68;4.40
200985039;SMP;1;4.62;4.38
201001707;SMP;1;4.66;4.44
201018777;SMP;1;4.70;4.44
201034923;SMP;1;4.68;4.52
201051432;SMP;1;4.62;4.46
201084655;SMP;1;4.62;4.48
201117639;SMP;1;4.64;4.52
201134102;SMP;1;4.68;4.52
201150800;SMP;1;4.64;4.58
201184171;SMP;1;4.66;4.56
201200470;SMP;1;4.64;4.56
201217170;SMP;1;4.68;4.58
201250407;SMP;1;4.64;4.56
201266885;SMP;1;4.54;4.40
201283412;SMP;1;4.72;4.40
201317425;SMP;1;4.60;4.40
201333405;SMP;1;4.46;4.36
201350286;SMP;1;4.58;4.44
201366387;SMP;1;4.62;4.44
201383304;SMP;1;4.56;4.38
201400039;SMP;1;4.56;4.40
201416358;SMP;1;4.62;4.36
201432893;SMP;1;4.50;4.40
201449619;SMP;1;4.56;4.38
201466418;SMP;1;4.64;4.36
201482775;SMP;1;4.64;4.34
201499577;SMP;1;4.44;4.36
201515894;SMP;1;4.54;4.38
201532470;SMP;1;4.56;4.38
201549397;SMP;1;4.66;4.34
201565527;SMP;1;4.60;4.40
201582164;SMP;1;4.54;4.38
201599149;SMP;1;4.48;4.38
201615736;SMP;1;4.58;4.40
201632118;SMP;1;4.58;4.38
201648543;SMP;1;4.58;4.40
201665321;SMP;1;4.58;4.38
201682121;SMP;1;4.52;4.40
201698289;SMP;1;4.52;4.38
201714918;SMP;1;4.58;4.40
201731667;SMP;1;4.54;4.40
201748155;SMP;1;4.58;4.40
201764667;SMP;1;4.52;4.40
201781548;SMP;1;4.52;4.40
201797906;SMP;1;4.52;4.40
201814685;SMP;1;4.58;4.40
201831502;SMP;1;4.54;4.42
201847660;SMP;1;4.60;4.42
201864488;SMP;1;4.56;4.40
201880866;SMP;1;4.50;4.42
201897491;SMP;1;4.56;4.40
201914378;SMP;1;4.60;4.42
201931042;SMP;1;4.52;4.42
201947478;SMP;1;4.56;4.42
201964757;SMP;1;4.58;4.42
201980468;SMP;1;4.56;4.42
201997004;SMP;1;4.56;4.48
202013646;SMP;1;4.66;4.42
202030261;SMP;1;4.58;4.42
202046890;SMP;1;4.58;4.40
202063468;SMP;1;4.60;4.50
202079997;SMP;1;4.60;4.40
202096614;SMP;1;4.66;4.50
202113382;SMP;1;4.60;4.40
202129819;SMP;1;4.64;4.46
202146526;SMP;1;4.68;4.52
202162999;SMP;1;4.64;4.42
202179618;SMP;1;4.62;4.40
202196505;SMP;1;4.64;4.48
202212768;SMP;1;4.62;4.42
202229406;SMP;1;4.64;4.56
202246298;SMP;1;4.66;4.48
202262615;SMP;1;4.66;4.50
202279181;SMP;1;4.64;4.50
202295813;SMP;1;4.70;4.50
202312596;SMP;1;4.62;4.52
202329071;SMP;1;4.62;4.54
202345668;SMP;1;4.72;4.52
202362210;SMP;1;4.66;4.54
202379165;SMP;1;4.66;4.54
202395509;SMP;1;4.66;4.54
202412217;SMP;1;4.68;4.56
202428575;SMP;1;4.66;4.58
202445279;SMP;1;4.72;4.56
202461800;SMP;1;4.68;4.58
202478481;SMP;1;4.74;4.56
202494885;SMP;1;4.76;4.52
202511664;SMP;1;4.68;4.56
202529008;SMP;1;4.70;4.58
202545135;SMP;1;4.72;4.56
202561569;SMP;1;4.66;4.60
202578075;SMP;1;4.72;4.54
202595686;SMP;1;4.62;4.56
202611545;SMP;1;4.62;4.56
202627637;SMP;1;4.80;4.60
202644792;SMP;1;4.64;4.58
202660860;SMP;1;4.64;4.56
202677850;SMP;1;4.72;4.58
202694707;SMP;1;4.74;4.52
202711029;SMP;1;4.76;4.56
202727299;SMP;1;4.76;4.60
202743939;SMP;1;4.72;4.58
202760709;SMP;1;4.78;4.58
202777018;SMP;1;4.82;4.60
202793708;SMP;1;4.80;4.62
202810440;SMP;1;4.68;4.58
202826792;SMP;1;4.74;4.58
202843552;SMP;1;4.84;4.54
202860082;SMP;1;4.74;4.60
202876599;SMP;1;4.72;4.62
202893247;SMP;1;4.68;4.62
202910183;SMP;1;4.68;4.62
202926385;SMP;1;4.68;4.62
202942997;SMP;1;4.78;4.62
202959768;SMP;1;4.76;4.62
202976442;SMP;1;4.74;4.62
202992889;SMP;1;4.72;4.62
203009820;SMP;1;4.76;4.62
203026474;SMP;1;4.78;4.62
203042705;SMP;1;4.72;4.60
203059156;SMP;1;4.76;4.62
203075767;SMP;1;4.74;4.60
203092464;SMP;1;4.72;4.62
203108891;SMP;1;4.78;4.64
203125535;SMP;1;4.76;4.62
203142161;SMP;1;4.72;4.66
203158733;SMP;1;4.76;4.68
203175860;SMP;1;4.82;4.66
203192089;SMP;1;4.82;4.60
203208893;SMP;1;4.82;4.64
203225553;SMP;1;4.90;4.62
203242148;SMP;1;4.96;4.64
203258420;SMP;1;5.00;4.64
203274883;SMP;1;4.88;4.64
203291627;SMP;1;4.86;4.64
203308627;SMP;1;4.98;4.64
203324663;SMP;1;4.82;4.64
203341670;SMP;1;4.96;4.66
203358038;SMP;1;4.80;4.64
203374668;SMP;1;4.88;4.64
203391023;SMP;1;5.04;4.66
203407819;SMP;1;4.96;4.64
203424582;SMP;1;4.94;4.66
203441272;SMP;1;4.94;4.70
203457561;SMP;1;4.94;4.68
203474186;SMP;1;4.94;4.70
203490913;SMP;1;4.98;4.80
203507648;SMP;1;4.90;4.72
203523888;SMP;1;4.98;4.70
203540798;SMP;1;5.00;4.74
203557149;SMP;1;4.96;4.76
203574044;SMP;1;4.94;4.76
203590263;SMP;1;4.96;4.76
203607120;SMP;1;4.94;4.76
203623719;SMP;1;4.96;4.74
203640163;SMP;1;4.76;4.78
203656828;SMP;1;4.96;4.74
203673453;SMP;1;5.04;4.76
203689898;SMP;1;5.00;4.74
203706365;SMP;1;4.98;4.78
203723406;SMP;1;4.88;4.82
203739693;SMP;1;4.98;4.78
203757199;SMP;1;4.76;4.76
203772749;SMP;1;4.82;4.78
203789385;SMP;1;4.92;4.76
203806065;SMP;1;4.98;4.76
203822796;SMP;1;5.02;4.82
203839294;SMP;1;4.96;4.76
203855782;SMP;1;4.98;4.78
203872637;SMP;1;4.96;4.76
203888924;SMP;1;5.08;4.78
203905672;SMP;1;4.82;4.76
203922175;SMP;1;4.80;4.78
203938738;SMP;1;5.12;4.80
203955271;SMP;1;4.98;4.76
203971907;SMP;1;5.04;4.78
203988485;SMP;1;4.86;4.74
204005116;SMP;1;4.86;4.78
204021699;SMP;1;4.86;4.80
204038263;SMP;1;4.90;4.76
204054889;SMP;1;4.86;4.80
204071509;SMP;1;5.08;4.80
204088257;SMP;1;4.92;4.76
204104635;SMP;1;4.82;4.82
204121401;SMP;1;4.92;4.82
204137993;SMP;1;4.94;4.80
204154543;SMP;1;4.86;4.80
204171006;SMP;1;4.96;4.80
204187632;SMP;1;4.84;4.82
204204760;SMP;1;4.78;4.82
204220868;SMP;1;4.94;4.80
204237400;SMP;1;4.82;4.82
204254250;SMP;1;4.92;4.80
204270783;SMP;1;4.88;4.80
204287392;SMP;1;4.76;4.82
204304180;SMP;1;4.92;4.80
204320446;SMP;1;5.02;4.76
204337140;SMP;1;5.08;4.78
204353854;SMP;1;4.96;4.76
204370304;SMP;1;4.88;4.74
204387166;SMP;1;4.86;4.78
204403774;SMP;1;4.74;4.74
204420398;SMP;1;4.92;4.76
204436573;SMP;1;5.02;4.78
204453130;SMP;1;4.72;4.80
204469918;SMP;1;4.96;4.78
204486519;SMP;1;4.92;4.76
204503130;SMP;1;4.76;4.80
204519660;SMP;1;4.88;4.78
204536633;SMP;1;4.88;4.82
204552992;SMP;1;4.82;4.80
204569430;SMP;1;4.76;4.76
204585898;SMP;1;5.12;4.80
204602783;SMP;1;4.90;4.80
204619558;SMP;1;4.96;4.82
204636153;SMP;1;4.68;4.82
204652433;SMP;1;4.66;4.82
204669193;SMP;1;4.82;4.82
204685667;SMP;1;4.82;4.86
204702340;SMP;1;5.00;4.84
204718827;SMP;1;4.90;4.82
204735687;SMP;1;4.84;4.80
204752060;SMP;1;4.86;4.84
204768571;SMP;1;5.08;4.82
204785296;SMP;1;4.94;4.80
204801789;SMP;1;4.88;4.82
204818555;SMP;1;4.74;4.80
204835277;SMP;1;4.98;4.86
204851629;SMP;1;4.96;4.82
204868405;SMP;1;4.86;4.80
204884778;SMP;1;4.90;4.82
204901265;SMP;1;4.92;4.82
204917865;SMP;1;4.94;4.82
204934619;SMP;1;5.00;4.80
204950990;SMP;1;4.76;4.84
204968074;SMP;1;5.04;4.74
205000835;SMP;1;4.94;4.74
205017381;SMP;1;4.96;4.72
205034459;SMP;1;4.92;4.70
205050931;SMP;1;4.88;4.74
205067410;SMP;1;4.86;4.72
205084019;SMP;1;5.06;4.72
205117418;SMP;1;5.04;4.72
205133613;SMP;1;5.08;4.76
205150167;SMP;1;5.02;4.74
205166772;SMP;1;5.00;4.74
205183751;SMP;1;4.94;4.70
205200149;SMP;1;5.02;4.78
205216503;SMP;1;4.90;4.74
205233554;SMP;1;5.00;4.76
205249922;SMP;1;4.92;4.84
205266501;SMP;1;4.86;4.80
205283307;SMP;1;4.80;4.84
205299965;SMP;1;4.88;4.82
205316131;SMP;1;4.98;4.84
205333068;SMP;1;5.14;4.82
205349448;SMP;1;4.92;4.86
205366337;SMP;1;4.92;4.84
205382670;SMP;1;4.74;4.84
205399118;SMP;1;5.10;4.82
205415735;SMP;1;5.20;4.86
205432505;SMP;1;5.20;4.82
205449170;SMP;1;5.06;4.86
205465476;SMP;1;4.96;4.88
205482120;SMP;1;4.94;4.86
205499032;SMP;1;5.00;4.88
205515348;SMP;1;4.96;4.84
205532227;SMP;1;4.96;4.84
205548464;SMP;1;5.04;4.86
205565339;SMP;1;5.02;4.84
205581718;SMP;1;4.98;4.84
205598250;SMP;1;4.78;4.88
205614896;SMP;1;4.86;4.88
205631778;SMP;1;4.90;4.86
205648262;SMP;1;5.12;4.90
205664956;SMP;1;5.12;4.88
205681517;SMP;1;5.02;4.90
205698031;SMP;1;5.10;4.90
205714397;SMP;1;5.06;4.90
205731152;SMP;1;4.94;4.88
205747766;SMP;1;5.02;4.90
205764170;SMP;1;5.00;4.84
205780996;SMP;1;5.02;4.88
205797447;SMP;1;5.06;4.84
205814194;SMP;1;4.94;4.86
205830766;SMP;1;4.84;4.84
205847336;SMP;1;4.94;4.90
205863910;SMP;1;5.18;4.88
205880601;SMP;1;5.04;4.88
205897274;SMP;1;5.00;4.88
205913690;SMP;1;4.96;4.88
205930299;SMP;1;5.10;4.90
205946911;SMP;1;5.04;4.84
205963502;SMP;1;5.16;4.96
205980143;SMP;1;5.06;4.84
205996529;SMP;1;4.80;4.88
206013269;SMP;1;5.02;4.90
206029949;SMP;1;4.96;4.88
206046511;SMP;1;5.00;4.86
206062895;SMP;1;5.16;4.80
206079525;SMP;1;4.88;4.86
206096409;SMP;1;5.04;4.86
206112886;SMP;1;5.06;4.86
206129474;SMP;1;5.12;4.88
206146301;SMP;1;5.10;4.84
206163209;SMP;1;5.14;4.86
206179498;SMP;1;5.06;4.84
206195651;SMP;1;5.10;4.88
206212476;SMP;1;5.02;4.84
206228867;SMP;1;4.82;4.94
206245894;SMP;1;4.90;4.92
206262022;SMP;1;4.82;4.96
206278658;SMP;1;5.06;4.96
206295248;SMP;1;4.82;4.92
206312091;SMP;1;4.98;4.90
206328465;SMP;1;4.92;4.92
206345410;SMP;1;4.98;4.92
206361813;SMP;1;5.12;4.90
206378390;SMP;1;4.88;4.94
206394929;SMP;1;5.02;4.90
206411780;SMP;1;4.92;4.96
206428436;SMP;1;4.92;4.94
206445029;SMP;1;5.04;4.94
206461302;SMP;1;5.00;4.92
206477784;SMP;1;4.94;4.88
206494394;SMP;1;4.96;4.92
206511143;SMP;1;4.88;4.90
206528417;SMP;1;4.98;4.90
206544620;SMP;1;5.00;4.88
206560908;SMP;1;4.96;4.88
206577600;SMP;1;4.98;4.88
206593979;SMP;1;4.90;4.86
206610996;SMP;1;4.94;4.90
206627293;SMP;1;5.02;4.90
206643764;SMP;1;4.88;4.86
206660898;SMP;1;4.86;4.86
206676962;SMP;1;4.94;4.86
206693684;SMP;1;4.98;4.88
206710135;SMP;1;4.90;4.86
206727077;SMP;1;4.98;4.88
206743784;SMP;1;4.98;4.88
206760056;SMP;1;4.98;4.90
206776490;SMP;1;4.98;4.86
206793153;SMP;1;4.92;4.86
206809909;SMP;1;4.88;4.88
206826427;SMP;1;4.90;4.86
206842906;SMP;1;5.02;4.90
206859690;SMP;1;4.98;4.84
206876408;SMP;1;4.96;4.82
206892798;SMP;1;4.92;4.90
206909595;SMP;1;5.00;4.86
206925874;SMP;1;5.04;4.92
206942694;SMP;1;5.02;4.82
206959274;SMP;1;4.94;4.86
206975633;SMP;1;4.88;4.80
206992412;SMP;1;4.80;4.78
207009287;SMP;1;4.80;4.64
207025624;SMP;1;4.74;4.60
207042307;SMP;1;4.66;4.58
207058637;SMP;1;4.58;4.48
207075393;SMP;1;4.52;4.40
207091848;SMP;1;4.42;4.36
207108616;SMP;1;4.40;4.28
207125382;SMP;1;4.28;4.22
207141667;SMP;1;4.24;4.20
207158233;SMP;1;4.20;4.12
207174778;SMP;1;4.16;4.02
207191960;SMP;1;4.08;3.96
207208053;SMP;1;4.00;3.82
207224636;SMP;1;3.98;3.82
207241232;SMP;1;3.98;3.78
207257777;SMP;1;3.92;3.70
207274796;SMP;1;3.80;3.64
207291157;SMP;1;3.80;3.62
207307763;SMP;1;3.80;3.52
207324415;SMP;1;3.76;3.42
207341246;SMP;1;3.68;3.44
207357579;SMP;1;3.64;3.40
207374271;SMP;1;3.60;3.40
207390725;SMP;1;3.60;3.34
207407260;SMP;1;3.56;3.38
207423754;SMP;1;3.56;3.34
207441022;SMP;1;3.58;3.28
207457310;SMP;1;3.46;3.22
207473623;SMP;1;3.42;3.24
207490791;SMP;1;3.42;3.24
207506885;SMP;1;3.42;3.20
207523654;SMP;1;3.40;3.18
207540414;SMP;1;3.38;3.18
207556901;SMP;1;3.38;3.14
207573402;SMP;1;3.38;3.08
207589881;SMP;1;3.34;3.16
207606541;SMP;1;3.32;3.08
207622872;SMP;1;3.30;3.04
207639689;SMP;1;3.28;3.04
207656311;SMP;1;3.28;3.04
207672628;SMP;1;3.24;3.06
207689496;SMP;1;3.24;3.04
207705876;SMP;1;3.22;3.02
207722488;SMP;1;3.24;3.00
207739176;SMP;1;3.24;3.02
207755708;SMP;1;3.22;3.02
207772535;SMP;1;3.22;3.02
207788856;SMP;1;3.22;3.02
207805428;SMP;1;3.22;3.04
207822016;SMP;1;3.22;3.02
207838620;SMP;1;3.24;3.02
207855233;SMP;1;3.24;3.02
207872120;SMP;1;3.24;3.04
207888411;SMP;1;3.26;3.00
207905396;SMP;1;3.24;3.04
207921611;SMP;1;3.26;3.04
207938564;SMP;1;3.32;3.06
207955334;SMP;1;3.36;3.04
207971798;SMP;1;3.36;3.02
207987991;SMP;1;3.38;3.08
208004809;SMP;1;3.40;3.12
208021739;SMP;1;3.40;3.10
208038153;SMP;1;3.40;3.16
208054850;SMP;1;3.42;3.18
208071304;SMP;1;3.42;3.20
208087643;SMP;1;3.44;3.18
208104359;SMP;1;3.46;3.22
208120884;SMP;1;3.52;3.22
208137513;SMP;1;3.58;3.20
208154029;SMP;1;3.60;3.22
208170920;SMP;1;3.58;3.22
208187317;SMP;1;3.60;3.24
208203734;SMP;1;3.60;3.24
208220471;SMP;1;3.62;3.36
208237297;SMP;1;3.60;3.32
208253522;SMP;1;3.62;3.40
208270515;SMP;1;3.60;3.38
208286723;SMP;1;3.68;3.40
208303416;SMP;1;3.76;3.40
208320389;SMP;1;3.72;3.42
208336878;SMP;1;3.76;3.46
208353113;SMP;1;3.78;3.44
208369812;SMP;1;3.80;3.46
208386419;SMP;1;3.80;3.60
208402905;SMP;1;3.78;3.54
208419920;SMP;1;3.78;3.52
208436204;SMP;1;3.78;3.56
208452631;SMP;1;3.82;3.52
208469682;SMP;1;3.84;3.56
208485877;SMP;1;3.82;3.56
208502725;SMP;1;3.86;3.58
208519715;SMP;1;3.82;3.58
208535630;SMP;1;3.82;3.58
208552391;SMP;1;3.88;3.60
208568857;SMP;1;3.84;3.58
208585377;SMP;1;3.86;3.60
208602446;SMP;1;3.82;3.62
208618619;SMP;1;3.86;3.62
208635403;SMP;1;3.86;3.62
208651956;SMP;1;3.90;3.64
208668880;SMP;1;3.88;3.64
208684990;SMP;1;3.92;3.62
208701816;SMP;1;3.90;3.70
208718150;SMP;1;3.88;3.62
208734756;SMP;1;3.86;3.68
208751456;SMP;1;3.94;3.66
208768116;SMP;1;3.90;3.70
208784665;SMP;1;3.92;3.68
208801121;SMP;1;3.92;3.72
208817930;SMP;1;3.92;3.76
208834386;SMP;1;3.90;3.76
208851172;SMP;1;3.98;3.72
208867792;SMP;1;3.92;3.72
208900874;SMP;1;3.96;3.74
208917590;SMP;1;4.00;3.76
208934326;SMP;1;3.98;3.80
208950510;SMP;1;3.96;3.78
208967113;SMP;1;4.00;3.76
208983996;SMP;1;4.00;3.78
209000424;SMP;1;4.04;3.80
209016868;SMP;1;4.06;3.80
209033535;SMP;1;4.06;3.82
209050099;SMP;1;4.04;3.80
209066661;SMP;1;4.06;3.82
209083445;SMP;1;4.06;3.80
209099875;SMP;1;4.06;3.82
209116600;SMP;1;4.08;3.84
209133270;SMP;1;4.10;3.82
209149652;SMP;1;4.14;3.82
209166248;SMP;1;4.12;3.82
209183025;SMP;1;4.14;3.82
209199491;SMP;1;4.06;3.82
209216166;SMP;1;4.14;3.80
209232911;SMP;1;4.16;3.82
209249412;SMP;1;4.16;3.82
209266016;SMP;1;4.16;3.84
209282557;SMP;1;4.08;3.82
209299161;SMP;1;4.14;3.84
209315790;SMP;1;4.18;3.88
209332436;SMP;1;4.14;3.88
209348982;SMP;1;4.18;3.88
209365801;SMP;1;4.14;3.88
209382001;SMP;1;4.18;3.86
209398609;SMP;1;4.12;3.92
209415378;SMP;1;4.14;3.92
209431758;SMP;1;4.16;3.90
209448423;SMP;1;4.14;3.88
209464999;SMP;1;4.18;3.90
209481607;SMP;1;4.20;3.90
209498138;SMP;1;4.20;3.88
209514775;SMP;1;4.14;3.92
209531663;SMP;1;4.20;3.90
209547918;SMP;1;4.26;3.86
209564862;SMP;1;4.26;3.92
209581557;SMP;1;4.20;3.90
209597900;SMP;1;4.22;3.90
209614354;SMP;1;4.20;3.96
209631311;SMP;1;4.24;3.94
209647649;SMP;1;4.24;3.96
209664380;SMP;1;4.26;3.96
209681153;SMP;1;4.24;3.96
209697701;SMP;1;4.26;3.98
209714041;SMP;1;4.24;3.98
209730902;SMP;1;4.26;3.98
209747272;SMP;1;4.28;3.96
209764153;SMP;1;4.30;3.98
209780488;SMP;1;4.28;4.00
209797167;SMP;1;4.28;4.00
209813651;SMP;1;4.34;3.98
209830104;SMP;1;4.32;4.02
209846641;SMP;1;4.34;4.00
209863365;SMP;1;4.30;4.02
209880389;SMP;1;4.30;4.00
209896741;SMP;1;4.28;4.04
209913357;SMP;1;4.26;4.02
209929645;SMP;1;4.32;4.04
209946246;SMP;1;4.26;4.04
209963290;SMP;1;4.32;4.04
209979748;SMP;1;4.28;4.02
209996482;SMP;1;4.30;4.02
210012839;SMP;1;4.34;4.04
210029642;SMP;1;4.28;4.02
210046181;SMP;1;4.30;4.04
210062761;SMP;1;4.28;4.04
210079261;SMP;1;4.36;4.04
210096030;SMP;1;4.32;4.06
210112226;SMP;1;4.30;4.06
210129128;SMP;1;4.30;4.04
210145370;SMP;1;4.30;4.04
210162145;SMP;1;4.28;4.06
210178609;SMP;1;4.36;4.04
210195140;SMP;1;4.30;4.04
210212032;SMP;1;4.32;4.04
210228566;SMP;1;4.40;4.06
210245151;SMP;1;4.38;4.06
210261940;SMP;1;4.38;4.06
210278120;SMP;1;4.34;4.06
210294897;SMP;1;4.34;4.06
210311523;SMP;1;4.30;4.08
210328420;SMP;1;4.30;4.10
210344620;SMP;1;4.32;4.06
210361146;SMP;1;4.34;4.08
210378159;SMP;1;4.38;4.04
210394501;SMP;1;4.32;4.16
210411036;SMP;1;4.36;4.06
210427494;SMP;1;4.36;4.06
210444697;SMP;1;4.38;4.08
210461139;SMP;1;4.34;4.04
210477260;SMP;1;4.34;4.04
210494289;SMP;1;4.44;4.12
210510892;SMP;1;4.34;4.06
210527100;SMP;1;4.42;4.08
210543649;SMP;1;4.40;4.06
210560252;SMP;1;4.26;4.08
210577027;SMP;1;4.40;4.04
210593494;SMP;1;4.38;4.06
210610035;SMP;1;4.42;4.16
210626622;SMP;1;4.40;4.16
210643254;SMP;1;4.42;4.12
210660356;SMP;1;4.38;4.08
210676676;SMP;1;4.30;4.16
210693342;SMP;1;4.38;4.14
210710049;SMP;1;4.36;4.16
210726395;SMP;1;4.40;4.16
210743301;SMP;1;4.40;4.16
210759696;SMP;1;4.36;4.12
210776157;SMP;1;4.36;4.14
210792992;SMP;1;4.40;4.18
210809392;SMP;1;4.40;4.14
210826183;SMP;1;4.38;4.18
210842813;SMP;1;4.40;4.22
210859420;SMP;1;4.40;4.18
210876047;SMP;1;4.42;4.20
210892538;SMP;1;4.42;4.18
210909159;SMP;1;4.40;4.20
210925373;SMP;1;4.42;4.18
210942404;SMP;1;4.42;4.22
210958559;SMP;1;4.38;4.18
210975500;SMP;1;4.42;4.22
210991910;SMP;1;4.40;4.20
211008846;SMP;1;4.40;4.20
211025379;SMP;1;4.40;4.22
211041926;SMP;1;4.42;4.22
211058559;SMP;1;4.40;4.22
211074740;SMP;1;4.42;4.20
211091699;SMP;1;4.40;4.24
211108040;SMP;1;4.44;4.22
211124559;SMP;1;4.44;4.24
211141322;SMP;1;4.46;4.22
211157876;SMP;1;4.46;4.22
211174281;SMP;1;4.42;4.22
211191294;SMP;1;4.44;4.22
211207573;SMP;1;4.52;4.20
211224106;SMP;1;4.52;4.22
211240639;SMP;1;4.44;4.24
211257414;SMP;1;4.44;4.24
211274287;SMP;1;4.44;4.20
211290898;SMP;1;4.46;4.20
211307277;SMP;1;4.40;4.22
211323957;SMP;1;4.40;4.24
211340835;SMP;1;4.46;4.24
211357009;SMP;1;4.48;4.22
211373639;SMP;1;4.44;4.24
211390028;SMP;1;4.46;4.22
211406774;SMP;1;4.42;4.22
211423414;SMP;1;4.44;4.26
211440344;SMP;1;4.46;4.30
211456428;SMP;1;4.48;4.28
211473141;SMP;1;4.48;4.34
211490031;SMP;1;4.50;4.32
211506641;SMP;1;4.44;4.34
211523180;SMP;1;4.46;4.34
211539650;SMP;1;4.48;4.32
211556369;SMP;1;4.46;4.36
211572632;SMP;1;4.48;4.34
211589576;SMP;1;4.50;4.38
211605917;SMP;1;4.42;4.36
211622764;SMP;1;4.50;4.36
211639129;SMP;1;4.48;4.38
211655770;SMP;1;4.48;4.40
211672494;SMP;1;4.54;4.38
211688754;SMP;1;4.46;4.38
211705728;SMP;1;4.50;4.40
211722370;SMP;1;4.44;4.40
211738926;SMP;1;4.54;4.44
211755269;SMP;1;4.54;4.42
211771901;SMP;1;4.54;4.42
211788557;SMP;1;4.54;4.42
211805246;SMP;1;4.54;4.42
211821718;SMP;1;4.52;4.42
211838554;SMP;1;4.54;4.42
211855160;SMP;1;4.54;4.40
211871440;SMP;1;4.52;4.40
211888038;SMP;1;4.52;4.42
211904584;SMP;1;4.56;4.40
211921510;SMP;1;4.58;4.36
211938141;SMP;1;4.62;4.42
211954659;SMP;1;4.52;4.36
211971292;SMP;1;4.46;4.36
211987903;SMP;1;4.48;4.34
212004192;SMP;1;4.50;4.34
212020657;SMP;1;4.50;4.36
212037669;SMP;1;4.56;4.32
212053899;SMP;1;4.42;4.32
212070889;SMP;1;4.50;4.36
212087198;SMP;1;4.54;4.42
212104022;SMP;1;4.52;4.40
212120726;SMP;1;4.54;4.36
212136845;SMP;1;4.56;4.40
212153801;SMP;1;4.50;4.40
212170442;SMP;1;4.52;4.40
212186657;SMP;1;4.54;4.38
212203237;SMP;1;4.58;4.38
212219860;SMP;1;4.56;4.36
212236555;SMP;1;4.56;4.38
