pupil_timestamp,world_index,eye_id,confidence,norm_pos_x,norm_pos_y,diameter,method,ellipse_center_x,ellipse_center_y,ellipse_axis_a,ellipse_axis_b,ellipse_angle,diameter_3d,model_confidence,model_id,sphere_center_x,sphere_center_y,sphere_center_z,sphere_radius,circle_3d_center_x,circle_3d_center_y,circle_3d_center_z,circle_3d_normal_x,circle_3d_normal_y,circle_3d_normal_z,circle_3d_radius,theta,phi,projected_sphere_center_x,projected_sphere_center_y,projected_sphere_axis_a,projected_sphere_axis_b,projected_sphere_angle
-323801.602459,0,1,1.0,0.4073774814605713,0.4145061572392782,36.480621337890625,2d c++,78.21647644042969,112.4148178100586,35.05064010620117,36.480621337890625,29.416349411010728,,,,,,,,,,,,,,,,,,,,,
-323801.602459,0,1,1.0,0.407837623568869,0.41460743527787225,36.467503180512544,pye3d 0.1.1 real-time,78.30482372522285,112.39537242664852,34.2492984204567,36.467503180512544,20.264072564408934,3.8316159126457623,1.0,,1.3915857238841651,3.807316442089445,43.03957547687927,10.392304845413264,-1.7636219787223273,1.960823143847217,33.31151673667014,-0.3036100027415065,-0.17767890046616505,-0.9360828887253718,1.9158079563228811,1.7494236446047358,-1.8844320119525728,105.00788468049241,120.9644528168721,163.46296194619782,163.46296194619782,0.0
-323801.602193,0,0,1.0,0.4316732542301054,0.5950888299547978,47.811189570833825,pye3d 0.1.1 real-time,82.88126481218023,77.7429446486788,45.925518991501036,47.811189570833825,137.4836975659539,4.249893956800959,1.0,,0.4922445897991128,-4.81528249101563,38.03485763444344,10.392304845413264,-1.366548873227623,-2.035622027539302,28.19522478714697,-0.17886248437440042,0.26747295280730293,-0.9468191121856168,2.1249469784004793,1.3000268543417772,-1.75750490522604,99.50852814168292,60.17239482375833,185.19902106460074,185.19902106460074,0.0
-323801.602193,0,0,1.0,0.4324180285135905,0.5944163401921589,47.804710388183594,2d c++,83.02426147460938,77.87206268310547,45.57045364379883,47.804710388183594,155.92622375488278,,,,,,,,,,,,,,,,,,,,,
-323801.59560400003,0,0,1.0,0.43246082464853924,0.5946249961853027,47.767303466796875,2d c++,83.03247833251953,77.83200073242188,45.647212982177734,47.767303466796875,153.58380126953125,,,,,,,,,,,,,,,,,,,,,
-323801.59560400003,0,0,1.0,0.431829465461487,0.5952178712491794,47.7713885807081,pye3d 0.1.1 real-time,82.9112573686055,77.71816872015758,45.89506276420914,47.7713885807081,137.31255700935532,4.2462057998291245,1.0,,0.4922445897991128,-4.81528249101563,38.03485763444344,10.392304845413264,-1.354908783882151,-2.0309328435264775,28.194358589444505,-0.1777424162549005,0.26792416974931693,-0.9469024620983985,2.1231028999145622,1.2995585453889973,-1.7563464791079648,99.50852814168292,60.17239482375833,185.19902106460074,185.19902106460074,0.0
-323801.595232,0,1,1.0,0.4072839816411336,0.413474440574646,36.4113655090332,2d c++,78.19852447509766,112.61290740966797,35.17121505737305,36.4113655090332,27.771150588989258,,,,,,,,,,,,,,,,,,,,,
-323801.595232,0,1,1.0,0.4078116223538921,0.4134959637732969,36.40086072178886,pye3d 0.1.1 real-time,78.29983149194729,112.608774955527,34.19693499755769,36.40086072178886,19.831874953287354,3.8240591284945964,1.0,,1.3915857238841651,3.807316442089445,43.03957547687927,10.392304845413264,-1.7643255601815815,1.9865754915953426,33.306892066930075,-0.3036777048989894,-0.1752008796487242,-0.9365278977785956,1.9120295642472982,1.7469061267819421,-1.8843579725392696,105.00788468049241,120.9644528168721,163.46296194619782,163.46296194619782,0.0
-323801.588553,0,1,1.0,0.4076492304717312,0.41344249777177966,36.384841687550306,pye3d 0.1.1 real-time,78.26865225057239,112.6190404278183,34.1782669273783,36.384841687550306,19.74777311023314,3.82242170274492,1.0,,1.3915857238841651,3.807316442089445,43.03957547687927,10.392304845413264,-1.7686181190502666,1.9911867381704227,33.30742337317449,-0.304090756568714,-0.17475716224015383,-0.93647677281139,1.91121085137246,1.7464554565011883,-1.8847730409187635,105.00788468049241,120.9644528168721,163.46296194619782,163.46296194619782,0.0
-323801.588553,0,1,1.0,0.40709153811136883,0.4134373664855957,36.3951530456543,2d c++,78.16157531738281,112.62002563476562,35.21094512939453,36.3951530456543,27.703687667846665,,,,,,,,,,,,,,,,,,,,,
